iter	Accuracy	MultiClass
484	0.972801167	0.08306232898
485	0.9728238692	0.08302361397
486	0.9728471879	0.08297781037
487	0.9728267384	0.08294673401
488	0.972850567	0.0828655545
489	0.9728540527	0.08284510413
490	0.9728892516	0.08275612932
491	0.9729003704	0.08272415978
492	0.9729348079	0.08269771711
493	0.9728899134	0.08267374278
494	0.9729365508	0.08263879833
495	0.9729548924	0.08255039203
496	0.9730207463	0.08250678971
497	0.9729793375	0.08246307948
498	0.9730404728	0.08242375346
499	0.9730486771	0.08238703992
500	0.9731559398	0.08233573776
501	0.9731926301	0.08228627467
502	0.9732304014	0.08223184629
503	0.9732862628	0.08219084315
504	0.9732315277	0.08215344964
505	0.9732729366	0.08212722389
506	0.9732606914	0.08210852695
507	0.9733417663	0.08206232168
508	0.9733569872	0.08204018516
509	0.9733307993	0.08200058861
510	0.9733411498	0.08193921327
511	0.9733609828	0.0819248075
512	0.9733721016	0.08190012417
513	0.9733819422	0.0818561143
514	0.9733551378	0.08182232349
515	0.9733154718	0.08176966006
516	0.9733172147	0.08175118453
517	0.973338174	0.08170817868
518	0.9733340719	0.08167261882
519	0.973428473	0.08162954082
520	0.9734557873	0.08160493606
521	0.9734546609	0.08156127317
522	0.9734511752	0.08153653879
523	0.9734575301	0.08150204767
524	0.9734773631	0.08148856159
525	0.9734581466	0.08145572391
526	0.9734610158	0.08143158582
527	0.9734872037	0.08139434781
528	0.9735105224	0.08136245402
529	0.9735326081	0.08133475707
530	0.97351913	0.0812875344
531	0.9735664904	0.0812374521
532	0.9735693596	0.08121848473
533	0.9735530123	0.08118983973
534	0.9735739716	0.08115939999
535	0.9735739716	0.08114324114
536	0.9735785837	0.08112283553
537	0.9735953956	0.08106965012
538	0.9735890407	0.08104851967
539	0.9736385473	0.08101191691
540	0.9736246046	0.08097275052
541	0.973665397	0.08092173102
542	0.9736828707	0.08089258269
543	0.9737088455	0.08085109354
544	0.9737099719	0.08081059985
545	0.9737188379	0.08078956056
546	0.9737707038	0.08074840281
547	0.9737672181	0.08071252682
548	0.9737567611	0.08066638702
549	0.9738197458	0.08063440283
550	0.9738389624	0.08060282261
551	0.9738703788	0.08058173163
552	0.973912914	0.08054364367
553	0.9738715051	0.08050866956
554	0.9738983095	0.08048272171
555	0.9739554492	0.08046145059
556	0.9739537064	0.0804348671
557	0.9739543228	0.08039931007
558	0.9739811272	0.08036845937
559	0.9740277646	0.0803479274
560	0.9740510832	0.08028527165
561	0.9740924921	0.08026280644
562	0.9741537339	0.08023723491
563	0.9742219471	0.08019488078
564	0.97422369	0.08015111073
565	0.974203857	0.08011557131
566	0.9741927382	0.08009228094
567	0.9742621615	0.08002788042
568	0.9742451977	0.07999604366
569	0.9742626261	0.07995529739
570	0.9743267371	0.07992369745
571	0.9742812262	0.07989363355
572	0.9742869646	0.07985281285
573	0.9742257227	0.07982428097
574	0.9742747647	0.07978577461
575	0.9742945977	0.07975949668
576	0.9743575824	0.0797172159
577	0.9743628109	0.07969748408
578	0.9744013506	0.07966099903
579	0.9744298978	0.07962953733
580	0.9744181625	0.07957533301
581	0.9744467097	0.07954382685
582	0.9744974945	0.07950643206
583	0.9744765351	0.07947950907
584	0.9744992373	0.07944336296
585	0.9746059902	0.07938537415
586	0.9746129615	0.07935475619
587	0.9746589824	0.07933580753
588	0.9746245903	0.07930352798
589	0.9746810682	0.07925761549
590	0.9746693329	0.07920965261
591	0.9746547284	0.07918043489
592	0.9745841106	0.07914453858
593	0.9746266458	0.07910444615
594	0.9746517073	0.0790628717
595	0.974670414	0.07902272837
596	0.9747708119	0.0789908942
597	0.9747672197	0.07895439393
598	0.9748040165	0.07893462029
599	0.9748087351	0.07890477451
600	0.9747900285	0.07887625603
601	0.9748430207	0.07883895479
602	0.9748173427	0.07878532291
603	0.9748254405	0.07873015949
604	0.9748452735	0.0787078171
605	0.9749105109	0.07867770802
606	0.9749338296	0.07865342114
607	0.9749344461	0.0786226656
608	0.9749774912	0.07859966761
609	0.9750136715	0.07857072847
610	0.9750119287	0.07855399005
611	0.9751039705	0.07851789102
612	0.9751255917	0.07847431764
613	0.9751436818	0.07845861902
614	0.9751163676	0.07843371271
615	0.9751612621	0.07839895256
616	0.9751331795	0.0783779372
617	0.9752044138	0.07833487183
618	0.9752148708	0.07828351898
619	0.9751898093	0.0782501265
620	0.975222504	0.0782207634
621	0.9752323445	0.07819140465
